# x_m, y_m, w_tr_right_m, w_tr_left_m, curvature, heading_angle_rad
89657.12850642917,43129.13269639167,2.9124038679823374,2.9124038679823374,0.005613060777217366,-1.5887062902159006
89657.11599023108,43128.433931156105,3.1988998768986154,3.1988998768986154,-0.008387535575927313,-1.5848063120453857
89657.10880970374,43127.72688215472,3.151627114182409,3.151627114182409,-0.05558176885153487,-1.600447672917485
89657.07423073213,43127.02599305772,3.5671262129361057,3.5671262129361057,-0.12843983605968662,-1.6641334261675438
89656.9795192012,43126.345707535336,3.5196129246628494,3.5196129246628494,-0.20744401316988056,-1.7806262573337817
89656.79194101217,43125.70046925306,3.71714209132512,3.71714209132512,-0.2514981489682097,-1.9457437835773401
89656.48984001612,43125.10149609829,3.6684345393689712,3.6684345393689712,-0.2215961026757186,-2.114916506939864
89656.09436831593,43124.54754066286,3.793407419202264,3.793407419202264,-0.16132754505075955,-2.245042866811474
89655.63698504501,43124.034346229375,3.743860464635872,3.743860464635872,-0.11813272015916126,-2.337062626305092
89655.14192689974,43123.55793982469,3.76444689890208,3.76444689890208,-0.09587758630657965,-2.4079999976210615
89654.61707525427,43123.11499101865,3.7152045914964544,3.7152045914964544,-0.08208177321982296,-2.46879152101517
89654.06806064401,43122.7022578087,3.564815632275687,3.564815632275687,-0.06945967832563542,-2.52078072584232
89653.50051360439,43122.316498192224,3.5162817543535225,3.5162817543535225,-0.05738038845554626,-2.564244236814759
89652.92006467082,43121.95447016667,3.367222425026446,3.367222425026446,-0.04580071868916426,-2.599497425710357
89652.3323443787,43121.61293172944,3.318204980084147,3.318204980084147,-0.033449338345035,-2.626771717397358
89651.74290434289,43121.288544447765,3.277967432954908,3.277967432954908,-0.01690970154294937,-2.6446726555768505
89651.15394321282,43120.97387301963,3.228060941595992,3.228060941595992,0.09347688621092803,-2.649287892804484
89650.56324661616,43120.6558323509,3.2519720410776185,3.2519720410776185,-0.07796831228309388,-2.515356753893016
89650.10002985939,43120.21150861385,3.2019797739796205,3.2019797739796205,-0.6350510251877416,-2.778308117599313
89649.44606975296,43120.23112930703,3.3155567401810284,3.3155567401810284,-0.3520251431717139,3.060823838973214
89648.77977994068,43120.31837612292,3.266946146227835,3.266946146227835,-0.09125031833098046,2.9836234477953325
89648.11222913665,43120.44360539232,3.4724729073320937,3.4724729073320937,-0.057260898252669994,2.9365053359125124
89647.44301616437,43120.596438910965,3.4248890068624447,3.4248890068624447,-0.034218599493581504,2.905218571274016
89646.7717398473,43120.76649847452,3.627971988406783,3.627971988406783,-0.012556189872229919,2.889131949333176
89646.09799900893,43120.94340587869,3.584063660230962,3.584063660230962,0.0054664677230522336,2.8876647269804168
89645.42140673932,43121.11695065407,3.829353947780551,3.829353947780551,0.014641470072708022,2.8967349806635294
89644.7420271045,43121.282224547045,3.786667719285693,3.786667719285693,0.014621435656587831,2.9081356511411545
89644.06045624065,43121.44057496139,3.647126584486164,3.647126584486164,0.011091638340087695,2.9171935060953387
89643.37732090864,43121.59370936011,3.60154480405547,3.60154480405547,0.007401221677171343,2.923665322250167
89642.69324786929,43121.74333520625,3.48943510414841,3.48943510414841,0.003724421386826453,2.927559919511746
89642.0088638834,43121.8911599628,3.4406661268505263,3.4406661268505263,5.070312121648592e-05,2.928881664406876
89641.32479571174,43122.038891092765,3.41255526376187,3.41255526376187,-0.0036315743512470846,2.927629708943207
89640.64167011518,43122.18823605918,3.36263235686691,3.36263235686691,-0.007340380866295504,2.9237977168658222
89639.96011385451,43122.34090232505,3.3608936824558278,3.3608936824558278,-0.012995877507772605,2.9173653319588735
89639.2807590544,43122.4986086468,3.3109130226425147,3.3109130226425147,-0.02718172566059205,2.9056402247298148
89638.60586754378,43122.66650506469,3.437851428542712,3.437851428542712,-0.05381278094593913,2.879408806774291
89637.94161541946,43122.85798296932,3.388318616610181,3.388318616610181,-0.08790209573493786,2.8307939055903595
89637.29475438647,43123.08764567394,3.303268019990448,3.303268019990448,-0.12283704552183873,2.7581822267070963
89636.67203614993,43123.37009649182,3.2534445344860248,3.2534445344860248,-0.14689705343910256,2.662831436260917
89636.07999873749,43123.71814919196,3.4051778874703813,3.4051778874703813,-0.14891912037539734,2.557459079340642
89635.52337150836,43124.12946997825,3.355314694349668,3.355314694349668,-0.13764059072348686,2.4574230762096225
89635.00597378139,43124.59410348495,3.470722589960987,3.470722589960987,-0.12549172169021697,2.365963272899373
89634.53161494329,43125.10203688375,3.421363010552235,3.421363010552235,-0.11087664798662669,2.2825015632308943
89634.10068237245,43125.643719064334,3.4810360932949305,3.4810360932949305,-0.0878341951350304,2.212193579220358
89633.70357188304,43126.21094703849,3.4312876299696997,3.4312876299696997,-0.059081613576136574,2.161071766450066
89633.3288654967,43126.795762545866,3.4873494808816576,3.4873494808816576,-0.0301706330202391,2.130242172807105
89632.96514523496,43127.39020732608,3.43752423425811,3.43752423425811,-0.006722535146828751,2.1190170920959353
89632.6015897154,43127.98672966412,3.494913458362003,3.494913458362003,0.005005517387124339,2.1208240748539136
89632.23416025907,43128.58239986197,3.445441170714337,3.445441170714337,0.007118518743772381,2.1260117342714544
89631.86312268006,43129.17722148261,3.4243586384105345,3.4243586384105345,0.006496416406719694,2.130798177112665
89631.48881139145,43129.77124483523,3.3745312303884547,3.3745312303884547,0.005841598543673227,2.135128840886616
89631.11156080628,43130.36452022903,3.399171885379241,3.399171885379241,0.005195338019969637,2.1390080136992053
